code,name,date,close,open,high,low,volume
005930,삼성전자,07.16,79700,80100,80100,79500,4550366
005930,삼성전자,07.15,80600,79800,80600,79500,13766279
005930,삼성전자,07.14,79500,79400,79600,79100,11575636
005930,삼성전자,07.13,79800,80000,80200,79800,9863450
005930,삼성전자,07.12,79700,79900,80000,79500,9768108
005930,삼성전자,07.09,79400,79600,79800,79000,22720577
005930,삼성전자,07.08,79900,81100,81200,79900,16660998
005930,삼성전자,07.07,80800,81200,81300,80300,15992202
005930,삼성전자,07.06,81200,80600,81200,80500,12131651
005930,삼성전자,07.05,80400,80100,80800,80000,8330969
005930,삼성전자,07.02,80000,80000,80400,79900,8753097
005930,삼성전자,07.01,80100,80500,80600,80000,13382882
005930,삼성전자,06.30,80700,81100,81400,80700,13288643
005930,삼성전자,06.29,81000,81900,82100,80800,15744317
005930,삼성전자,06.28,81900,81700,82000,81600,11578529
005930,삼성전자,06.25,81600,81500,81900,81200,13481405
005930,삼성전자,06.24,81200,80400,81400,80100,18771080
005930,삼성전자,06.23,80100,80500,80600,79900,13856548
005930,삼성전자,06.22,80000,80200,80300,79900,11773365
005930,삼성전자,06.21,79900,79700,80000,79600,16063340
005930,삼성전자,06.18,80500,81100,81100,80500,14916721
005930,삼성전자,06.17,80900,81100,81300,80700,14007385
005930,삼성전자,06.16,81800,81500,81900,81100,14999855
005930,삼성전자,06.15,80900,80900,81200,80600,10075685
005930,삼성전자,06.14,80500,80800,80900,80500,10550078
005930,삼성전자,06.11,81000,81200,81700,80700,14087962
005930,삼성전자,06.10,81000,81300,81400,80900,17586995
005930,삼성전자,06.09,81100,81500,82000,81100,14908823
005930,삼성전자,06.08,81900,82300,82600,81800,12781226
005930,삼성전자,06.07,81900,82700,82800,81600,16496197
005930,삼성전자,06.04,82200,82700,82700,81500,18112259
005930,삼성전자,06.03,82800,81300,83000,81100,29546007
005930,삼성전자,06.02,80800,80400,81400,80300,16414644
005930,삼성전자,06.01,80600,80500,81300,80100,14058401
005930,삼성전자,05.31,80500,80300,80600,79600,13321324
005930,삼성전자,05.28,80100,79800,80400,79400,12360199
005930,삼성전자,05.27,79600,80000,80000,79100,23198510
005930,삼성전자,05.26,79800,80400,80500,79700,11984359
005930,삼성전자,05.25,79900,80000,80400,79800,13628942
005930,삼성전자,05.24,79700,80100,80400,79500,13398666
005930,삼성전자,05.21,80100,80100,81500,79800,20961714
005930,삼성전자,05.20,79500,79400,79700,79100,16541828
005930,삼성전자,05.18,79600,79600,80000,79100,17494407
005930,삼성전자,05.17,79600,80800,80900,79200,17740855
005930,삼성전자,05.14,80100,79000,80300,78900,16450920
005930,삼성전자,05.13,78500,78900,79600,78400,31490096
005930,삼성전자,05.12,80000,80800,81200,79800,35812268
005930,삼성전자,05.11,81200,82500,82600,81100,28996680
005930,삼성전자,05.10,83200,82300,83500,81800,19385027
005930,삼성전자,05.07,81900,81800,82100,81500,14154882
005930,삼성전자,05.06,82300,81700,82300,81700,17047511
005930,삼성전자,05.04,82600,81900,82600,81800,12532550
005930,삼성전자,05.03,81700,81000,82400,81000,15710336
005930,삼성전자,04.30,81500,81900,82100,81500,18673197
005930,삼성전자,04.29,81700,82400,82500,81500,20000973
005930,삼성전자,04.28,82100,83200,83200,82100,15596759
005930,삼성전자,04.27,82900,83200,83300,82500,12941533
005930,삼성전자,04.26,83500,82900,83500,82600,15489938
005930,삼성전자,04.23,82800,81900,82900,81600,17805080
005930,삼성전자,04.22,82400,82900,83000,82400,13934746
000660,SK하이닉스,07.16,121000,122000,122500,120500,1145464
000660,SK하이닉스,07.15,123500,123500,124000,122500,1500981
000660,SK하이닉스,07.14,123500,122500,124000,121500,2443087
000660,SK하이닉스,07.13,123000,121000,123500,121000,2879072
000660,SK하이닉스,07.12,120000,121000,122000,119500,2477201
000660,SK하이닉스,07.09,119500,120500,120500,118000,4823577
000660,SK하이닉스,07.08,121500,123500,123500,121000,3165552
000660,SK하이닉스,07.07,123500,125000,125500,122500,2229140
000660,SK하이닉스,07.06,125000,124000,126000,123500,2067135
000660,SK하이닉스,07.05,123000,123500,124500,122500,1632551
000660,SK하이닉스,07.02,122500,122500,123500,121500,3983921
000660,SK하이닉스,07.01,124500,127500,128000,124000,3336174
000660,SK하이닉스,06.30,127500,126500,129500,126000,4346027
000660,SK하이닉스,06.29,125000,127500,128000,125000,2211572
000660,SK하이닉스,06.28,126000,129000,129500,126000,2402730
000660,SK하이닉스,06.25,128500,128000,129000,127500,2531018
000660,SK하이닉스,06.24,126000,124000,126500,123500,2646407
000660,SK하이닉스,06.23,124000,122500,124500,122000,2703658
000660,SK하이닉스,06.22,122000,122500,123500,122000,2179712
000660,SK하이닉스,06.21,122000,121000,123000,120500,3275288
000660,SK하이닉스,06.18,124500,127500,127500,124500,2506112
000660,SK하이닉스,06.17,126500,127000,128000,126000,2123793
000660,SK하이닉스,06.16,129500,128000,129500,127000,1893752
000660,SK하이닉스,06.15,128500,128500,129500,128000,1975082
000660,SK하이닉스,06.14,127000,127000,127500,125500,2022730
000660,SK하이닉스,06.11,128000,124500,128500,124000,4868608
000660,SK하이닉스,06.10,123000,122500,124000,120500,4533076
000660,SK하이닉스,06.09,122500,125500,126000,122500,6087592
000660,SK하이닉스,06.08,127500,127000,127500,125000,4194955
000660,SK하이닉스,06.07,128500,129500,130000,128000,2562918
000660,SK하이닉스,06.04,128500,127500,129000,126500,2555891
000660,SK하이닉스,06.03,129000,127000,130000,126500,3353993
000660,SK하이닉스,06.02,126000,128500,129000,125500,2885654
000660,SK하이닉스,06.01,128500,127000,129000,126000,2819179
000660,SK하이닉스,05.31,127000,126000,127000,124000,2448074
000660,SK하이닉스,05.28,125000,126500,126500,124000,2332971
000660,SK하이닉스,05.27,125500,124500,126000,123000,4539067
000660,SK하이닉스,05.26,123000,124000,124500,122000,3015522
000660,SK하이닉스,05.25,123000,121500,123000,120500,3258364
000660,SK하이닉스,05.24,119500,122000,122500,119000,3188734
000660,SK하이닉스,05.21,122500,124500,125500,121000,4062695
000660,SK하이닉스,05.20,122500,121000,124000,119500,4600751
000660,SK하이닉스,05.18,121000,117500,122000,117500,3470048
000660,SK하이닉스,05.17,117500,120000,120000,117000,3110127
000660,SK하이닉스,05.14,118500,118500,120000,118000,3227201
000660,SK하이닉스,05.13,117500,116000,118500,115500,6042025
000660,SK하이닉스,05.12,119500,123000,123500,119000,8272196
000660,SK하이닉스,05.11,123000,127000,127500,122000,9882491
000660,SK하이닉스,05.10,130000,131000,131000,128500,3067077
000660,SK하이닉스,05.07,129500,128000,131000,127000,3450323
000660,SK하이닉스,05.06,129000,130000,130500,128000,4211535
000660,SK하이닉스,05.04,132000,130500,132000,129000,2547004
000660,SK하이닉스,05.03,131500,127500,132500,127000,4085398
000660,SK하이닉스,04.30,128000,130000,130500,126500,3955947
000660,SK하이닉스,04.29,130000,132000,133000,129000,3738266
000660,SK하이닉스,04.28,130000,134500,135000,130000,5596760
000660,SK하이닉스,04.27,135000,133000,136000,132500,3394650
000660,SK하이닉스,04.26,131500,132500,132500,130500,2904879
000660,SK하이닉스,04.23,132500,130500,132500,128500,4854412
000660,SK하이닉스,04.22,133000,134500,135500,133000,3007457
code,name,date,close,open,high,low,volume
07.16,삼성전자,07.16,79700,80100,80100,79500,4777562
07.16,삼성전자,07.15,80600,79800,80600,79500,13766279
07.16,삼성전자,07.14,79500,79400,79600,79100,11575636
07.16,삼성전자,07.13,79800,80000,80200,79800,9863450
07.16,삼성전자,07.12,79700,79900,80000,79500,9768108
07.16,삼성전자,07.09,79400,79600,79800,79000,22720577
07.16,삼성전자,07.08,79900,81100,81200,79900,16660998
07.16,삼성전자,07.07,80800,81200,81300,80300,15992202
07.16,삼성전자,07.06,81200,80600,81200,80500,12131651
07.16,삼성전자,07.05,80400,80100,80800,80000,8330969
07.16,삼성전자,07.02,80000,80000,80400,79900,8753097
07.16,삼성전자,07.01,80100,80500,80600,80000,13382882
07.16,삼성전자,06.30,80700,81100,81400,80700,13288643
07.16,삼성전자,06.29,81000,81900,82100,80800,15744317
07.16,삼성전자,06.28,81900,81700,82000,81600,11578529
07.16,삼성전자,06.25,81600,81500,81900,81200,13481405
07.16,삼성전자,06.24,81200,80400,81400,80100,18771080
07.16,삼성전자,06.23,80100,80500,80600,79900,13856548
07.16,삼성전자,06.22,80000,80200,80300,79900,11773365
07.16,삼성전자,06.21,79900,79700,80000,79600,16063340
07.16,삼성전자,06.18,80500,81100,81100,80500,14916721
07.16,삼성전자,06.17,80900,81100,81300,80700,14007385
07.16,삼성전자,06.16,81800,81500,81900,81100,14999855
07.16,삼성전자,06.15,80900,80900,81200,80600,10075685
07.16,삼성전자,06.14,80500,80800,80900,80500,10550078
07.16,삼성전자,06.11,81000,81200,81700,80700,14087962
07.16,삼성전자,06.10,81000,81300,81400,80900,17586995
07.16,삼성전자,06.09,81100,81500,82000,81100,14908823
07.16,삼성전자,06.08,81900,82300,82600,81800,12781226
07.16,삼성전자,06.07,81900,82700,82800,81600,16496197
07.16,삼성전자,06.04,82200,82700,82700,81500,18112259
07.16,삼성전자,06.03,82800,81300,83000,81100,29546007
07.16,삼성전자,06.02,80800,80400,81400,80300,16414644
07.16,삼성전자,06.01,80600,80500,81300,80100,14058401
07.16,삼성전자,05.31,80500,80300,80600,79600,13321324
07.16,삼성전자,05.28,80100,79800,80400,79400,12360199
07.16,삼성전자,05.27,79600,80000,80000,79100,23198510
07.16,삼성전자,05.26,79800,80400,80500,79700,11984359
07.16,삼성전자,05.25,79900,80000,80400,79800,13628942
07.16,삼성전자,05.24,79700,80100,80400,79500,13398666
07.16,삼성전자,05.21,80100,80100,81500,79800,20961714
07.16,삼성전자,05.20,79500,79400,79700,79100,16541828
07.16,삼성전자,05.18,79600,79600,80000,79100,17494407
07.16,삼성전자,05.17,79600,80800,80900,79200,17740855
07.16,삼성전자,05.14,80100,79000,80300,78900,16450920
07.16,삼성전자,05.13,78500,78900,79600,78400,31490096
07.16,삼성전자,05.12,80000,80800,81200,79800,35812268
07.16,삼성전자,05.11,81200,82500,82600,81100,28996680
07.16,삼성전자,05.10,83200,82300,83500,81800,19385027
07.16,삼성전자,05.07,81900,81800,82100,81500,14154882
07.16,삼성전자,05.06,82300,81700,82300,81700,17047511
07.16,삼성전자,05.04,82600,81900,82600,81800,12532550
07.16,삼성전자,05.03,81700,81000,82400,81000,15710336
07.16,삼성전자,04.30,81500,81900,82100,81500,18673197
07.16,삼성전자,04.29,81700,82400,82500,81500,20000973
07.16,삼성전자,04.28,82100,83200,83200,82100,15596759
07.16,삼성전자,04.27,82900,83200,83300,82500,12941533
07.16,삼성전자,04.26,83500,82900,83500,82600,15489938
07.16,삼성전자,04.23,82800,81900,82900,81600,17805080
07.16,삼성전자,04.22,82400,82900,83000,82400,13934746
07.16,SK하이닉스,07.16,120500,122000,122500,120500,1154733
07.16,SK하이닉스,07.15,123500,123500,124000,122500,1500981
07.16,SK하이닉스,07.14,123500,122500,124000,121500,2443087
07.16,SK하이닉스,07.13,123000,121000,123500,121000,2879072
07.16,SK하이닉스,07.12,120000,121000,122000,119500,2477201
07.16,SK하이닉스,07.09,119500,120500,120500,118000,4823577
07.16,SK하이닉스,07.08,121500,123500,123500,121000,3165552
07.16,SK하이닉스,07.07,123500,125000,125500,122500,2229140
07.16,SK하이닉스,07.06,125000,124000,126000,123500,2067135
07.16,SK하이닉스,07.05,123000,123500,124500,122500,1632551
07.16,SK하이닉스,07.02,122500,122500,123500,121500,3983921
07.16,SK하이닉스,07.01,124500,127500,128000,124000,3336174
07.16,SK하이닉스,06.30,127500,126500,129500,126000,4346027
07.16,SK하이닉스,06.29,125000,127500,128000,125000,2211572
07.16,SK하이닉스,06.28,126000,129000,129500,126000,2402730
07.16,SK하이닉스,06.25,128500,128000,129000,127500,2531018
07.16,SK하이닉스,06.24,126000,124000,126500,123500,2646407
07.16,SK하이닉스,06.23,124000,122500,124500,122000,2703658
07.16,SK하이닉스,06.22,122000,122500,123500,122000,2179712
07.16,SK하이닉스,06.21,122000,121000,123000,120500,3275288
07.16,SK하이닉스,06.18,124500,127500,127500,124500,2506112
07.16,SK하이닉스,06.17,126500,127000,128000,126000,2123793
07.16,SK하이닉스,06.16,129500,128000,129500,127000,1893752
07.16,SK하이닉스,06.15,128500,128500,129500,128000,1975082
07.16,SK하이닉스,06.14,127000,127000,127500,125500,2022730
07.16,SK하이닉스,06.11,128000,124500,128500,124000,4868608
07.16,SK하이닉스,06.10,123000,122500,124000,120500,4533076
07.16,SK하이닉스,06.09,122500,125500,126000,122500,6087592
07.16,SK하이닉스,06.08,127500,127000,127500,125000,4194955
07.16,SK하이닉스,06.07,128500,129500,130000,128000,2562918
07.16,SK하이닉스,06.04,128500,127500,129000,126500,2555891
07.16,SK하이닉스,06.03,129000,127000,130000,126500,3353993
07.16,SK하이닉스,06.02,126000,128500,129000,125500,2885654
07.16,SK하이닉스,06.01,128500,127000,129000,126000,2819179
07.16,SK하이닉스,05.31,127000,126000,127000,124000,2448074
07.16,SK하이닉스,05.28,125000,126500,126500,124000,2332971
07.16,SK하이닉스,05.27,125500,124500,126000,123000,4539067
07.16,SK하이닉스,05.26,123000,124000,124500,122000,3015522
07.16,SK하이닉스,05.25,123000,121500,123000,120500,3258364
07.16,SK하이닉스,05.24,119500,122000,122500,119000,3188734
07.16,SK하이닉스,05.21,122500,124500,125500,121000,4062695
07.16,SK하이닉스,05.20,122500,121000,124000,119500,4600751
07.16,SK하이닉스,05.18,121000,117500,122000,117500,3470048
07.16,SK하이닉스,05.17,117500,120000,120000,117000,3110127
07.16,SK하이닉스,05.14,118500,118500,120000,118000,3227201
07.16,SK하이닉스,05.13,117500,116000,118500,115500,6042025
07.16,SK하이닉스,05.12,119500,123000,123500,119000,8272196
07.16,SK하이닉스,05.11,123000,127000,127500,122000,9882491
07.16,SK하이닉스,05.10,130000,131000,131000,128500,3067077
07.16,SK하이닉스,05.07,129500,128000,131000,127000,3450323
07.16,SK하이닉스,05.06,129000,130000,130500,128000,4211535
07.16,SK하이닉스,05.04,132000,130500,132000,129000,2547004
07.16,SK하이닉스,05.03,131500,127500,132500,127000,4085398
07.16,SK하이닉스,04.30,128000,130000,130500,126500,3955947
07.16,SK하이닉스,04.29,130000,132000,133000,129000,3738266
07.16,SK하이닉스,04.28,130000,134500,135000,130000,5596760
07.16,SK하이닉스,04.27,135000,133000,136000,132500,3394650
07.16,SK하이닉스,04.26,131500,132500,132500,130500,2904879
07.16,SK하이닉스,04.23,132500,130500,132500,128500,4854412
07.16,SK하이닉스,04.22,133000,134500,135500,133000,3007457
